,country,additional_info,aka,designation,id,link,orgKey,source,hcp_id,hco_id
149,BRAZIL,,,,4909,,,openai,4909,B143
150,BRAZIL,,,,4910,,,orgIntel,4910,B143
151,BRAZIL,,,,4910,,,orgIntel,4910,B144
153,BRAZIL,,,,3749,,,orgIntel,3749,B144
154,BRAZIL,,,,3749,,,orgIntel,3749,B145
155,BRAZIL,,,,3841,,,orgIntel,3841,B144
156,BRAZIL,,,,3857,,,openai,3857,B144
158,BRAZIL,,,,8587,,,openai,8587,B145
159,BRAZIL,,,,8591,,,openai,8591,B145
160,BRAZIL,,,,8595,,,openai,8595,B146
161,BRAZIL,,,,8595,,,openai,8595,B145
162,BRAZIL,,,,8475,,,openai,8475,B146
163,BRAZIL,,,,8479,,,openai,8479,B146
164,BRAZIL,,,,8483,,,openai,8483,B146
165,BRAZIL,,,,8487,,,openai,8487,B146
166,BRAZIL,,,,8491,,,openai,8491,B146
167,BRAZIL,,,,8924,,,orgIntel,8924,B146
168,BRAZIL,,,,8924,,,orgIntel,8924,B147
169,BRAZIL,,,,8928,,,orgIntel,8928,B147
170,BRAZIL,,,,8932,,,openai,8932,B147
171,BRAZIL,,,,6990,,,openai,6990,B148
172,BRAZIL,,,,6992,,,openai,6992,B148
174,BRAZIL,,,,7001,,,orgIntel,7001,B148
175,BRAZIL,,,,7005,,,openai,7005,B148
176,BRAZIL,,,,8073,,,openai,8073,B149
177,BRAZIL,,,,8077,,,openai,8077,B149
178,BRAZIL,,,,8081,,,openai,8081,B149
179,BRAZIL,,,,8085,,,openai,8085,B149
180,BRAZIL,,,,8089,,,openai,8089,B149
181,BRAZIL,,,,9054,,,openai,9054,B150
182,BRAZIL,,,,9143,,,openai,9143,B150
183,BRAZIL,,,,9501,,,orgIntel,9501,B150
184,BRAZIL,,,,8339,,,orgIntel,8339,B151
185,BRAZIL,,,,8694,,,openai,8694,B152
186,BRAZIL,,,,8698,,,openai,8698,B151
187,BRAZIL,,,,8698,,,openai,8698,B152
188,BRAZIL,,,,8702,,,openai,8702,B152
189,BRAZIL,,,,8706,,,openai,8706,B151
190,BRAZIL,,,,8706,,,openai,8706,B152
191,BRAZIL,,,,5590,,,orgIntel,5590,B153
192,BRAZIL,,,,5632,,,openai,5632,B153
194,BRAZIL,,,,5731,,,openai,5731,B153
195,BRAZIL,,,,5739,,,openai,5739,B153
197,BRAZIL,,,,4034,,,openai,4034,B152
198,BRAZIL,,,,4034,,,openai,4034,B154
199,BRAZIL,,,,4146,,,openai,4146,B154
200,BRAZIL,,,,4187,,,openai,4187,B154
201,BRAZIL,,,,8599,,,orgIntel,8599,B154
202,BRAZIL,,,,8599,,,orgIntel,8599,B155
204,BRAZIL,,,,8605,,,openai,8605,B155
205,BRAZIL,,,,8609,,,openai,8609,B156
206,BRAZIL,,,,8609,,,openai,8609,B155
207,BRAZIL,,,,8499,,,openai,8499,B156
209,BRAZIL,,,,7025,,,openai,7025,B156
210,BRAZIL,,,,7025,,,openai,7025,B158
211,BRAZIL,,,,7033,,,openai,7033,B158
212,BRAZIL,,,,7057,,,openai,7057,B158
213,BRAZIL,,,,7073,,,openai,7073,B158
215,BRAZIL,,,,8143,,,openai,8143,B158
216,BRAZIL,,,,8143,,,openai,8143,B159
217,BRAZIL,,,,8145,,,openai,8145,B159
218,BRAZIL,,,,8149,,,openai,8149,B159
219,BRAZIL,,,,8884,,,openai,8884,B160
220,BRAZIL,,,,8888,,,openai,8888,B171
221,BRAZIL,,,,8888,,,openai,8888,B160
222,BRAZIL,,,,8892,,,openai,8892,B160
223,BRAZIL,,,,8896,,,orgIntel,8896,B160
224,BRAZIL,,,,8900,,,openai,8900,B160
226,BRAZIL,,,,8445,,,openai,8445,B171
227,BRAZIL,,,,8449,,,openai,8449,B171
228,BRAZIL,,,,8451,,,openai,8451,B171
230,BRAZIL,,,,6939,,,openai,6939,B173
231,BRAZIL,,,,6948,,,openai,6948,B173
232,BRAZIL,,,,4312,,,openai,4312,B174
233,BRAZIL,,,,4456,,,openai,4456,B174
234,BRAZIL,,,,4459,,,openai,4459,B174
235,BRAZIL,,,,4568,,,openai,4568,B174
236,BRAZIL,,,,8351,,,openai,8351,B176
237,BRAZIL,,,,8355,,,openai,8355,B176
238,BRAZIL,,,,8359,,,openai,8359,B176
239,BRAZIL,,,,8363,,,orgIntel,8363,B176
240,BRAZIL,,,,8001,,,orgIntel,8001,B178
241,BRAZIL,,,,8005,,,orgIntel,8005,B178
242,BRAZIL,,,,8009,,,openai,8009,B178
243,BRAZIL,,,,8013,,,openai,8013,B178
244,BRAZIL,,,,8017,,,orgIntel,8017,B178
245,BRAZIL,,,,8567,,,openai,8567,B181
246,BRAZIL,,,,8571,,,orgIntel,8571,B181
247,BRAZIL,,,,8579,,,openai,8579,B181
248,BRAZIL,,,,8583,,,openai,8583,B181
249,BRAZIL,,,,8832,,,openai,8832,B182
250,BRAZIL,,,,8836,,,openai,8836,B182
251,BRAZIL,,,,5781,,,openai,5781,B183
252,BRAZIL,,,,4278,,,openai,4278,B184
253,BRAZIL,,,,4295,,,openai,4295,B184
254,BRAZIL,,,,8315,,,orgIntel,8315,B185
256,BRAZIL,,,,8323,,,openai,8323,B185
257,BRAZIL,,,,8331,,,openai,8331,B185
258,BRAZIL,,,,8335,,,orgIntel,8335,B185
259,BRAZIL,,,,8389,,,orgIntel,8389,B186
260,BRAZIL,,,,8393,,,openai,8393,B186
262,BRAZIL,,,,8401,,,openai,8401,B186
263,BRAZIL,,,,8405,,,openai,8405,B186
264,BRAZIL,,,,8093,,,openai,8093,B189
265,BRAZIL,,,,8097,,,openai,8097,B189
266,BRAZIL,,,,8101,,,openai,8101,B189
267,BRAZIL,,,,8105,,,openai,8105,B189
268,BRAZIL,,,,8495,,,openai,8495,B191
269,BRAZIL,,,,8653,,,openai,8653,B192
270,BRAZIL,,,,8657,,,openai,8657,B192
271,BRAZIL,,,,4936,,,openai,4936,B193
272,BRAZIL,,,,4948,,,openai,4948,B193
273,BRAZIL,,,,4983,,,orgIntel,4983,B193
